event,keywords,doc_list
hail,hail,"[30086, 194318, 201684, 211264, 322618, 403608, 419162, 424427, 476999, 483002, 535994, 570757, 626674, 732361, 766196, 766921, 794234, 871495, 921544, 974757, 975518, 979463, 980389, 990762, 999274, 1001258, 1009766, 1022270]"
hash wind,"hurricane,tornado,typhoon","[61474, 117536, 166907, 213327, 230428, 254929, 557408, 634363, 814303, 963045, 963672, 963692, 983476, 1024644, 17908, 21770, 62675, 75634, 75634, 84216, 95062, 95062, 95062, 158928, 171734, 171801, 171838, 171847, 186767, 197751, 197751, 197751, 264455, 268538, 321596, 323455, 345829, 353145, 353260, 402413, 402413, 432808, 433917, 518932, 527393, 610360, 620946, 633896, 633897, 643613, 718094, 718094, 730175, 810456, 814303, 846282, 846962, 847594, 901589, 954847, 970191, 998451, 1002243, 1058048, 1058048, 1058891, 1084210, 1084210, 72576, 72598, 72598, 129242, 155570, 329672, 640310, 640338, 892822]"
lightning,lightning,"[27493, 72824, 72838, 78469, 83865, 125666, 136564, 144422, 144422, 176094, 196448, 204904, 211177, 211203, 211296, 214143, 216560, 217570, 244493, 247616, 254940, 260634, 268723, 291089, 295625, 297388, 329545, 428820, 434826, 434826, 457539, 470033, 537000, 553064, 554431, 568771, 634638, 646640, 655224, 742619, 747187, 747187, 760800, 760800, 766863, 800465, 810297, 811058, 875666, 877959, 878092, 892479, 955578, 970131, 985853, 990856, 1000312, 1013381, 1063496, 1063496, 1064669, 1067882, 1093242, 1095871, 1099662, 1099683, 1114983]"
storm,"storm,storming","[19704, 33839, 38931, 38963, 38964, 39776, 39921, 41366, 54308, 55679, 56110, 56191, 56426, 61802, 62740, 64340, 68241, 69375, 70249, 70249, 70336, 70369, 70414, 73814, 75166, 75180, 83865, 87526, 89844, 90445, 92709, 94922, 95062, 95589, 95870, 96726, 100746, 105669, 105700, 106584, 121857, 121948, 122912, 124161, 124161, 124166, 124166, 127969, 128851, 135032, 137437, 138839, 142403, 150219, 150243, 151869, 153344, 154330, 157169, 167219, 169072, 178093, 181948, 182175, 182468, 185015, 185066, 185100, 186202, 188314, 189179, 197139, 197256, 198862, 201473, 201784, 203525, 203528, 203571, 204272, 205114, 210589, 211177, 211296, 213849, 214570, 214914, 223428, 224981, 225857, 227598, 227658, 228819, 228991, 230428, 231835, 234302, 234303, 236724, 237907, 239971, 240172, 244432, 244470, 247614, 247622, 247623, 252405, 255937, 260502, 264274, 264306, 265260, 265304, 265348, 265443, 265467, 265801, 266954, 268603, 270214, 271377, 271431, 271447, 273825, 274420, 276293, 294776, 300036, 300149, 300259, 305386, 306939, 307955, 310724, 312879, 318782, 321153, 322032, 322120, 322288, 322808, 326132, 329815, 329817, 330972, 331676, 334379, 334761, 337330, 337947, 338040, 340288, 341803, 344286, 345858, 346650, 350071, 351105, 352305, 355909, 369528, 384475, 385061, 389121, 389497, 390975, 395261, 401876, 403188, 403597, 403720, 403720, 404951, 408391, 408396, 409143, 411813, 412022, 412993, 419162, 419274, 419377, 419490, 419994, 421822, 423500, 425118, 425160, 425190, 425239, 425255, 425265, 425271, 425341, 425343, 425360, 425360, 427238, 427737, 428820, 430007, 432010, 432508, 433287, 433302, 433446, 448553, 448594, 454318, 455536, 459988, 466645, 470391, 474556, 476959, 479391, 484431, 486877, 487215, 487295, 487404, 487435, 487694, 490781, 491615, 492982, 494207, 494211, 494220, 495507, 495799, 495799, 498192, 510574, 516108, 522821, 525675, 525717, 528377, 530041, 530416, 530423, 531035, 534216, 535262, 536435, 541467, 544675, 551836, 553064, 554078, 554963, 561838, 561838, 564946, 566466, 566466, 570757, 570766, 571395, 571433, 571433, 571439, 571439, 599966, 600723, 613031, 613036, 613042, 613057, 613060, 624524, 624826, 627236, 627953, 633288, 635120, 636756, 636795, 636801, 636822, 636822, 636838, 636861, 640932, 646640, 652821, 706402, 708960, 710194, 715982, 716570, 716927, 719877, 727977, 728871, 731124, 733406, 734776, 736147, 739304, 740610, 741804, 741946, 742676, 743620, 743620, 749501, 751121, 752053, 752053, 753649, 755030, 755681, 756298, 759513, 760188, 760800, 760886, 766110, 766299, 766417, 766921, 767490, 769846, 772010, 774903, 786087, 791703, 792033, 793287, 795783, 796919, 799640, 799885, 799897, 800059, 800284, 800933, 801626, 803299, 806513, 807272, 807754, 812161, 814130, 814288, 816260, 816575, 816635, 823665, 831944, 842789, 845301, 845513, 845716, 845771, 845795, 846003, 846012, 846130, 846414, 846424, 846436, 846458, 846502, 846538, 846562, 846646, 846646, 846786, 846786, 847013, 847026, 847033, 847069, 847145, 847145, 847163, 847356, 852831, 858765, 862741, 863685, 865244, 865405, 865661, 867901, 868007, 869393, 869396, 870630, 870887, 870896, 873365, 873365, 874267, 874453, 875652, 875771, 876423, 880234, 881159, 881569, 890101, 890697, 891378, 894306, 894360, 906513, 909010, 916337, 918018, 918056, 918095, 918279, 918572, 918798, 919158, 920000, 926396, 931006, 931279, 932367, 943061, 944395, 950055, 950896, 951057, 951078, 952409, 952410, 952872, 955792, 955997, 958477, 964124, 966715, 966715, 967617, 967801, 969648, 969752, 970191, 973283, 973328, 973358, 973379, 973400, 973433, 973533, 973533, 973553, 973553, 973554, 973554, 973649, 973703, 973723, 974969, 976315, 979370, 979370, 979504, 979748, 979963, 980198, 981961, 982554, 983552, 984605, 985271, 988356, 993949, 994126, 994374, 998769, 999929, 1001975, 1001977, 1002012, 1002016, 1002051, 1002052, 1004756, 1005032, 1009137, 1010377, 1011389, 1013067, 1013367, 1013400, 1013724, 1013724, 1013744, 1013744, 1014089, 1018208, 1019204, 1021893, 1021919, 1028602, 1028848, 1032052, 1033299, 1060470, 1061212, 1061212, 1061375, 1061460, 1061535, 1061734, 1061811, 1061811, 1061826, 1062049, 1062049, 1062114, 1062114, 1062169, 1062293, 1066159, 1068542, 1068671, 1070501, 1070995, 1073535, 1073862, 1073959, 1079912, 1079912, 1085653, 1086209, 1087447, 1095871, 1096317, 1097451, 27189, 230422, 369356, 455772, 947844, 979820, 1079633]"
thunder,thunder,"[15352, 27493, 61462, 75630, 78469, 89894, 127934, 136564, 144422, 144422, 146649, 165384, 211177, 211296, 211296, 228993, 231835, 235737, 244531, 247616, 252405, 295625, 385061, 400342, 411813, 412993, 425190, 425255, 452296, 470033, 476965, 479391, 484431, 554963, 570766, 612977, 624801, 636822, 736693, 740646, 740665, 749501, 766863, 773619, 773658, 800465, 800489, 812038, 812043, 889828, 892479, 926526, 955578, 970131, 977774, 989743, 993949, 996012, 1013400, 1021968, 1063496, 1067882, 1073535, 1087447, 1093242]"
